latitude,longitude,district,elevation,slope,aspect,month,rainfall_daily,rainfall_7day,ndvi,soil_moisture,distance_to_road,land_cover,landslide
23.62,92.8231,Aizawl,971.7,35.0,51.4,8,0.9,5.5,0.461,0.797,10920.9,forest,1
26.7785,94.2131,Jorhat,1648.3,23.5,202.8,6,0.2,0.8,0.596,0.972,571.2,forest,1
26.6918,92.4081,Tezpur,229.9,22.5,31.9,5,0.1,0.5,0.732,0.2,989.4,agriculture,0
26.1313,91.6849,Guwahati,190.5,11.5,218.1,10,3.2,23.7,0.464,0.179,3315.5,agriculture,0
24.7956,94.1407,Imphal,888.3,9.3,188.2,6,0.4,1.0,0.651,0.782,7143.8,forest,0
25.8446,90.3847,Tura,840.9,31.3,149.9,9,5.9,16.1,0.457,0.848,1.6,forest,0
24.279,94.0091,Imphal,484.7,20.7,253.1,6,53.5,416.1,0.661,0.996,112.8,agriculture,1
24.794,93.8917,Imphal,2094.0,19.1,29.1,6,4.2,28.4,0.309,0.768,4803.6,forest,0
27.0913,94.3947,Jorhat,670.0,27.4,139.2,10,0.4,1.8,0.671,0.192,2430.4,agriculture,0
25.3901,92.0505,Dawki,411.1,13.7,319.6,9,41.1,276.2,0.616,0.553,10910.4,forest,0
27.6799,95.175,Dibrugarh,1197.0,8.5,305.7,8,12.6,32.3,0.477,0.638,1498.2,urban,0
27.7301,94.6413,Dibrugarh,1313.0,11.4,15.7,12,1.9,7.0,0.595,0.215,2414.0,agriculture,0
26.4806,92.497,Tezpur,465.3,24.9,205.2,4,2.9,22.7,0.614,0.265,3582.2,bare,0
23.933,91.3828,Agartala,1004.3,26.8,121.7,6,1.5,8.1,0.594,0.509,114.2,urban,0
24.8675,92.2133,Dawki,442.0,34.2,251.8,4,0.4,3.3,0.404,0.177,1677.5,agriculture,0
23.7143,91.185,Agartala,394.4,34.2,343.8,8,12.1,68.7,0.372,0.686,2029.6,agriculture,0
25.9544,92.2165,Shillong,211.9,17.2,181.1,9,16.1,48.0,0.63,0.505,1473.9,agriculture,0
26.7752,94.3093,Jorhat,1650.8,19.8,77.3,6,0.6,3.4,0.785,0.741,2055.8,agriculture,0
25.7764,90.2924,Tura,1059.0,11.7,290.5,12,1.6,6.8,0.5,0.257,4213.9,forest,0
26.8698,92.6954,Tezpur,1421.3,14.9,32.9,6,45.0,346.3,0.887,0.977,4187.5,bare,0
25.3372,91.7502,Shillong,660.5,32.7,30.3,8,1.1,7.9,0.804,0.598,1406.5,forest,0
23.5863,92.6773,Aizawl,853.0,37.4,20.3,4,0.4,2.2,0.599,0.189,1009.4,urban,0
24.4307,94.0598,Imphal,581.5,30.8,250.9,6,20.0,150.1,0.455,0.617,3122.6,forest,0
24.8075,92.0925,Dawki,1050.6,42.1,311.8,3,0.1,0.3,0.612,0.268,5537.7,urban,0
26.7937,94.1231,Jorhat,2467.8,14.8,136.0,5,0.7,2.4,0.69,0.222,144.1,forest,1
24.1402,91.3031,Agartala,1708.6,16.4,48.2,2,4.2,24.2,0.625,0.167,1295.1,agriculture,0
25.5702,90.1292,Tura,131.2,36.8,286.7,7,27.7,183.1,0.317,0.288,1253.7,agriculture,0
25.5933,90.032,Tura,440.9,5.6,69.2,3,0.6,2.0,0.552,0.258,2100.0,agriculture,1
27.4929,93.5806,Itanagar,249.4,21.4,193.2,10,0.8,5.3,0.484,0.254,428.6,agriculture,0
25.3255,90.2359,Tura,2250.8,4.4,115.9,5,1.2,3.2,0.387,0.198,2070.1,forest,0
27.8869,95.1882,Dibrugarh,133.5,30.1,179.4,6,40.7,83.2,0.726,0.876,276.0,urban,1
27.1097,93.4538,Itanagar,825.8,19.2,294.1,5,0.6,3.4,0.587,0.2,4402.4,forest,0
26.8781,94.057,Jorhat,2914.9,24.7,115.4,7,6.9,32.7,0.469,0.663,275.9,forest,1
26.9553,94.1068,Itanagar,161.4,10.8,65.2,3,4.1,22.1,0.509,0.215,536.1,forest,0
25.6685,90.2687,Tura,1282.0,3.4,224.7,7,8.7,47.3,0.54,0.875,780.3,agriculture,0
26.4543,94.4488,Jorhat,872.0,13.0,54.6,6,4.3,27.7,0.612,0.813,1256.0,urban,1
27.1014,92.6133,Tezpur,8430.0,15.4,215.4,7,18.9,105.7,0.529,0.656,2863.1,water,0
27.4294,94.9194,Dibrugarh,2767.6,34.4,218.4,6,20.0,152.1,0.671,0.566,5477.2,forest,0
25.3177,94.0448,Imphal,415.5,29.4,331.1,6,6.4,41.1,0.352,0.497,582.2,agriculture,0
25.8678,93.9704,Kohima,322.0,13.0,200.6,9,11.5,35.7,0.602,0.781,4825.0,forest,0
26.1334,91.6313,Guwahati,376.1,14.9,144.3,7,2.5,7.8,0.201,0.632,77.1,forest,0
25.8043,93.8842,Kohima,437.2,29.7,260.0,9,26.6,116.6,0.566,0.427,39.3,forest,0
27.0235,94.4117,Jorhat,797.8,32.9,299.0,6,22.3,93.1,0.763,0.573,363.9,agriculture,0
23.6629,92.9892,Aizawl,3730.1,27.2,189.2,5,1.0,2.0,0.572,0.148,5311.3,forest,1
25.4002,91.7081,Shillong,322.1,14.1,145.6,8,8.2,33.9,0.568,0.776,1724.5,water,0
25.4701,94.6365,Kohima,987.0,19.8,178.7,7,6.1,40.4,0.372,0.436,848.7,urban,0
25.1284,91.8882,Dawki,1131.1,26.3,260.7,8,59.1,438.7,0.793,0.721,135.5,agriculture,0
23.9937,91.3068,Agartala,950.8,20.5,304.0,6,26.5,58.8,0.702,0.387,3575.0,forest,0
25.4568,92.0836,Dawki,3408.1,21.6,166.3,12,0.0,0.0,0.696,0.147,1523.9,forest,0
26.5199,92.6255,Tezpur,1255.0,25.8,84.1,3,0.1,0.4,0.31,0.152,1890.0,agriculture,0
26.6072,92.7702,Tezpur,392.5,14.3,16.9,6,0.6,4.3,0.67,0.766,2233.5,forest,0
27.17,94.7435,Dibrugarh,969.8,13.5,213.5,7,1.4,10.5,0.508,0.557,273.0,forest,0
25.8767,94.0629,Kohima,721.8,27.1,356.9,3,6.4,32.8,0.623,0.21,2209.8,urban,0
25.5465,90.3011,Tura,1178.5,21.0,271.0,4,6.4,46.2,0.544,0.182,2124.6,forest,0
25.4413,90.2249,Tura,714.8,40.8,38.5,8,11.7,90.9,0.547,0.548,3694.8,forest,0
26.1788,91.6227,Guwahati,3067.6,20.7,295.7,6,25.6,90.1,0.702,0.692,1063.1,urban,0
26.8832,92.5439,Tezpur,1336.7,29.1,143.1,5,12.4,55.3,0.564,0.23,5993.2,agriculture,0
27.0541,93.6885,Itanagar,958.5,24.3,47.2,2,7.6,43.4,0.587,0.245,671.4,agriculture,0
24.6585,94.1181,Imphal,168.3,25.4,245.0,6,55.2,349.2,0.782,0.768,473.2,forest,1
24.9038,94.2407,Imphal,1342.0,20.0,31.6,6,0.5,1.3,0.45,0.504,549.9,forest,0
26.8747,94.2621,Jorhat,1345.1,24.6,341.0,8,22.9,130.2,0.917,0.464,124.8,forest,0
27.5628,94.7037,Dibrugarh,435.5,20.3,258.9,5,16.8,132.1,0.431,0.246,3896.7,bare,0
26.3163,92.9748,Tezpur,1229.7,42.6,10.6,6,14.0,78.1,0.483,0.967,1881.0,urban,1
23.5574,91.3788,Agartala,819.4,21.9,307.6,7,4.3,30.8,0.716,0.354,10461.5,forest,0
26.2038,91.6465,Guwahati,877.6,18.6,61.1,7,6.2,43.0,0.367,0.817,112.1,bare,0
25.6841,92.0314,Shillong,1445.5,33.3,12.3,12,0.4,1.3,0.622,0.201,1519.4,agriculture,0
27.2911,94.6011,Dibrugarh,995.0,4.0,47.8,4,8.4,53.9,0.541,0.228,884.3,agriculture,0
25.4012,90.2138,Tura,3303.5,28.6,335.1,8,16.9,55.8,0.437,0.851,148.2,water,0
26.9491,93.5676,Itanagar,443.1,31.7,157.7,10,6.3,24.6,0.552,0.281,2823.5,agriculture,0
27.3329,93.8327,Itanagar,4011.4,19.6,231.3,8,10.4,54.7,0.355,0.568,3771.0,agriculture,0
25.0829,90.1695,Tura,910.2,16.9,92.4,6,5.5,37.5,0.313,0.93,389.9,forest,0
24.0182,91.1719,Agartala,1003.1,36.3,152.8,4,5.1,21.5,0.45,0.216,4735.9,agriculture,1
27.5501,93.3712,Itanagar,382.1,11.0,240.3,4,2.9,13.8,0.422,0.244,71.8,agriculture,0
25.6107,90.1085,Tura,222.3,9.3,250.3,6,8.4,52.9,0.685,1.0,215.9,agriculture,1
25.4377,91.9292,Shillong,411.0,41.7,164.5,5,0.2,0.7,0.215,0.161,1580.2,forest,0
25.3289,92.2828,Dawki,251.7,16.7,187.5,8,1.4,9.1,0.717,0.762,110.5,forest,0
27.1627,94.6719,Dibrugarh,697.9,7.2,58.2,9,12.8,69.2,0.586,1.0,2966.2,agriculture,0
24.7377,93.85,Imphal,429.7,34.6,206.3,10,2.6,12.5,0.518,0.286,5304.1,forest,0
24.7357,93.7415,Imphal,998.5,22.3,38.0,8,3.7,20.9,0.304,0.478,1847.4,forest,0
25.5403,93.7618,Kohima,377.2,23.4,82.4,5,0.7,2.3,0.828,0.233,1556.6,agriculture,0
25.7616,90.1567,Tura,1343.3,34.0,93.5,8,2.2,11.5,0.211,0.554,5580.6,forest,0
26.5721,92.9108,Tezpur,1592.8,29.7,47.9,4,3.2,24.7,0.754,0.238,5231.2,agriculture,0
25.0703,94.2523,Imphal,682.4,14.6,15.0,4,3.8,9.2,0.858,0.218,3248.5,forest,0
25.831,91.9277,Shillong,601.4,10.8,82.0,11,3.3,6.8,0.605,0.232,1951.7,urban,0
26.9411,93.1599,Tezpur,1207.9,30.7,80.9,6,8.5,39.3,0.474,0.767,660.0,urban,0
26.5075,94.4471,Jorhat,502.7,38.1,269.3,7,3.0,6.9,0.691,0.956,3905.3,forest,0
26.5443,92.9173,Tezpur,1791.2,10.7,107.1,7,17.5,126.8,0.761,0.766,28.1,forest,0
25.9689,91.6158,Guwahati,872.3,24.2,247.6,6,11.6,59.7,0.688,0.706,4153.4,bare,0
26.7288,94.4644,Jorhat,282.3,15.0,49.6,8,0.0,0.1,0.693,0.885,2140.7,bare,1
24.2023,91.6573,Agartala,2452.2,25.3,27.7,3,1.2,8.2,0.517,0.225,478.6,forest,0
27.3535,94.8758,Dibrugarh,1090.2,36.1,178.6,5,3.5,27.6,0.519,0.217,2501.0,water,1
25.5482,89.8663,Tura,861.4,14.7,67.0,9,9.2,45.0,0.571,0.437,4351.1,forest,0
25.3357,91.9851,Dawki,515.3,30.1,350.9,6,8.4,59.4,0.457,0.698,2900.4,agriculture,0
27.1174,94.7047,Dibrugarh,810.5,37.1,353.3,5,3.2,10.2,0.521,0.125,1290.1,forest,1
26.4854,92.7672,Tezpur,968.7,29.3,197.6,8,3.8,27.2,0.436,0.721,1849.5,bare,0
25.6317,94.0495,Kohima,346.6,16.9,45.5,8,2.6,9.3,0.721,0.616,2412.3,forest,0
25.1539,92.6586,Dawki,844.7,9.3,73.4,7,5.1,34.3,0.515,0.769,7398.5,agriculture,0
26.4042,92.8425,Tezpur,190.1,33.5,12.0,6,19.8,137.0,0.408,0.926,375.5,bare,0
26.193,91.731,Guwahati,1667.3,36.2,4.5,7,11.2,71.0,0.748,0.478,2334.8,bare,1
25.5753,90.3664,Tura,273.8,13.9,40.7,4,3.8,17.2,0.756,0.215,1715.5,agriculture,0
25.2707,92.0152,Dawki,322.8,17.6,63.0,9,3.9,27.1,0.432,1.0,1092.9,forest,1
25.8716,91.7869,Shillong,567.4,19.3,60.9,6,7.2,24.1,0.652,0.617,1956.4,forest,0
23.9382,91.457,Agartala,1484.1,24.8,78.6,4,0.2,0.8,0.68,0.247,231.4,forest,0
27.1857,93.7998,Itanagar,1369.2,25.1,12.5,7,80.8,576.8,0.575,0.589,366.3,forest,0
26.5464,92.8482,Tezpur,626.0,38.5,341.3,7,23.3,136.2,0.53,0.511,10597.3,forest,0
25.5287,90.559,Tura,404.2,27.6,50.4,5,10.7,42.6,0.269,0.176,695.8,agriculture,1
26.0782,91.5896,Guwahati,858.6,31.2,31.4,8,1.8,7.4,0.573,0.841,14808.0,forest,0
26.4361,91.5981,Guwahati,875.7,39.5,343.5,8,29.8,60.0,0.754,0.732,889.9,agriculture,0
26.4724,92.7386,Tezpur,2246.5,19.1,240.7,8,6.7,37.5,0.502,0.614,385.4,water,1
25.7718,94.2935,Kohima,93.5,29.9,77.8,7,25.5,61.2,0.571,0.89,2346.2,urban,0
25.2956,92.1177,Dawki,155.2,9.6,247.8,6,2.7,12.6,0.351,0.641,3039.3,forest,0
25.7421,89.9833,Tura,180.7,33.7,50.6,7,0.4,2.1,0.642,0.626,1473.0,forest,1
25.5119,89.9843,Tura,690.1,25.5,358.1,7,1.4,7.8,0.257,0.641,850.7,urban,0
27.3124,94.7858,Dibrugarh,581.4,17.4,209.0,4,1.8,10.1,0.674,0.177,674.4,forest,1
26.5317,91.8448,Guwahati,826.4,33.4,165.0,2,4.1,21.8,0.624,0.21,4214.9,agriculture,0
26.7807,92.6189,Tezpur,394.3,10.0,207.8,9,59.2,263.4,0.678,0.613,193.5,urban,1
23.6891,92.7163,Aizawl,487.4,25.5,107.8,6,24.5,89.9,0.743,0.697,4200.3,bare,0
26.2831,91.8103,Guwahati,1565.7,29.3,146.6,3,1.3,3.4,0.316,0.182,154.6,forest,0
25.1906,91.9642,Dawki,1513.5,17.8,210.0,9,11.9,39.6,0.822,0.52,5168.4,agriculture,0
27.5512,95.0714,Dibrugarh,305.3,23.1,51.4,8,4.7,23.7,0.496,0.776,3682.5,forest,0
27.1031,93.716,Itanagar,578.8,19.6,205.9,10,8.6,39.0,0.69,0.192,3379.6,forest,0
25.5422,90.2583,Tura,702.5,8.1,231.9,3,1.3,10.4,0.175,0.244,161.3,bare,0
26.4059,92.7207,Tezpur,978.5,9.1,244.0,7,5.2,14.8,0.791,0.984,666.5,urban,0
27.0785,94.4204,Jorhat,1006.0,15.4,87.1,10,5.5,34.2,0.471,0.224,127.6,forest,0
23.5403,92.8631,Aizawl,1181.5,26.2,277.3,9,1.9,6.9,0.615,0.748,5633.1,forest,0
25.8697,91.4295,Guwahati,1250.3,20.6,337.5,7,9.6,22.7,0.727,0.998,2471.8,bare,0
23.755,91.2165,Agartala,1854.4,25.0,139.7,8,4.5,18.4,0.545,0.596,3690.1,forest,0
25.2658,91.8869,Shillong,613.6,22.2,346.4,8,39.6,260.0,0.788,0.453,5984.5,agriculture,0
25.2796,92.0942,Dawki,691.2,13.7,224.0,12,0.6,4.3,0.396,0.204,529.0,agriculture,0
26.4372,91.6959,Guwahati,849.6,36.2,289.7,3,5.0,15.2,0.79,0.253,1546.3,urban,1
26.4984,92.4867,Tezpur,226.9,19.9,90.4,7,6.7,39.6,0.751,0.723,2115.4,forest,1
23.6129,91.4217,Agartala,2557.6,33.6,51.8,7,35.1,248.4,0.486,0.943,2359.1,forest,1
26.664,94.2373,Jorhat,220.3,35.2,297.6,3,3.9,25.9,0.755,0.262,139.4,forest,0
25.718,91.3783,Shillong,370.5,9.6,305.4,6,5.4,21.4,0.428,0.732,6966.5,urban,0
25.7108,94.4238,Kohima,501.3,11.9,226.2,7,6.7,51.8,0.338,0.501,3698.0,forest,0
25.589,94.0343,Kohima,476.2,26.1,42.8,8,16.7,76.9,0.433,0.307,1469.3,water,1
25.2164,90.1486,Tura,1356.0,16.3,64.5,9,12.1,52.9,0.606,0.815,3350.7,bare,0
25.6654,94.1304,Kohima,391.4,17.9,148.2,10,1.7,12.3,0.564,0.154,1217.0,agriculture,0
23.762,92.8204,Aizawl,1626.1,24.4,100.0,5,1.7,13.4,0.526,0.252,360.8,forest,0
23.5606,91.3549,Agartala,351.5,13.0,197.9,8,2.3,13.0,0.618,0.835,289.8,agriculture,0
25.048,94.1427,Imphal,188.7,23.4,38.1,4,8.7,55.8,0.641,0.206,3419.4,forest,1
26.6639,92.9445,Tezpur,1219.7,30.2,267.4,6,33.1,83.0,0.432,0.712,1730.8,water,0
25.2615,90.3579,Tura,444.8,22.2,89.4,5,0.9,3.3,0.685,0.248,3352.2,forest,0
23.7759,91.4585,Agartala,154.2,19.5,355.6,6,22.1,100.9,0.227,0.887,7404.4,urban,1
25.9483,90.0699,Tura,1292.8,6.0,23.0,9,5.2,24.2,0.485,0.603,334.1,bare,0
27.6175,94.8783,Dibrugarh,688.1,9.3,290.1,1,7.8,36.1,0.682,0.154,6182.1,urban,0
23.7049,92.7856,Aizawl,712.5,49.2,309.2,8,27.3,195.2,0.379,0.825,3552.0,forest,1
25.9547,91.8639,Guwahati,923.9,33.7,124.3,6,19.8,144.2,0.647,0.62,547.9,forest,0
24.7425,94.1443,Imphal,3536.0,20.3,252.8,5,2.1,9.3,0.649,0.238,1233.9,forest,0
23.5466,92.7784,Aizawl,473.4,26.8,220.1,9,16.8,74.6,0.561,0.705,4190.7,agriculture,0
27.2154,93.2028,Itanagar,572.8,12.3,317.7,7,1.2,5.1,0.559,0.919,4886.1,forest,0
25.5623,90.2066,Tura,421.1,25.9,134.8,6,0.7,2.9,0.573,0.862,300.7,forest,1
26.8604,92.8915,Tezpur,2131.7,23.1,50.5,8,14.5,93.8,0.534,0.574,2727.6,agriculture,0
25.6236,92.2078,Shillong,816.5,29.5,211.9,5,2.7,19.7,0.66,0.178,1760.2,agriculture,0
26.4243,91.9253,Guwahati,276.2,23.6,97.0,5,3.6,11.8,0.371,0.221,623.7,forest,0
25.3151,91.9379,Dawki,443.2,8.2,296.8,8,29.3,196.3,0.396,0.752,297.2,bare,0
25.1366,94.1723,Imphal,347.6,23.4,14.5,6,2.1,4.5,0.782,0.441,43.5,bare,0
26.3876,93.0143,Tezpur,3347.7,28.5,356.6,8,8.8,54.7,0.397,0.56,16299.7,water,0
25.72,91.8804,Guwahati,633.0,28.3,310.9,4,7.8,45.0,0.624,0.204,4986.3,forest,0
24.6603,94.3374,Imphal,434.9,16.9,219.5,8,27.3,186.2,0.607,0.958,973.1,water,0
25.5975,94.1488,Kohima,340.7,17.5,221.9,5,3.5,19.6,0.666,0.183,401.4,forest,0
26.0393,91.7977,Guwahati,706.1,33.8,24.1,11,5.1,36.2,0.5,0.224,319.3,forest,0
26.4403,94.1377,Jorhat,451.6,8.4,131.6,6,5.4,42.4,0.728,0.67,1120.5,forest,0
23.7068,92.7039,Aizawl,341.6,35.1,165.0,8,12.8,76.9,0.672,0.566,6608.7,forest,1
27.4974,95.3312,Dibrugarh,485.7,33.4,287.9,4,3.6,16.2,0.739,0.222,2157.8,urban,0
25.4589,91.6007,Dawki,1327.5,11.8,100.3,5,0.6,4.2,0.657,0.259,4794.5,forest,0
26.1841,91.8439,Guwahati,2447.1,27.2,224.5,7,0.8,3.5,0.485,0.703,8898.7,water,0
25.3344,90.2784,Tura,572.6,13.2,175.4,6,13.6,109.0,0.521,0.949,2864.5,water,0
25.358,91.4732,Shillong,2643.2,17.7,85.5,3,3.9,10.3,0.372,0.204,4168.1,forest,0
23.7326,91.4171,Agartala,2918.7,16.4,297.7,7,22.4,76.3,0.571,0.616,2836.1,agriculture,0
27.5092,95.1865,Dibrugarh,2510.0,12.5,124.9,7,23.7,87.1,0.527,0.813,14373.1,agriculture,0
25.7881,94.0719,Kohima,862.0,11.9,88.8,7,16.3,105.8,0.673,0.538,4244.7,forest,1
25.111,92.1351,Dawki,1189.9,33.2,38.5,7,19.6,150.0,0.752,0.794,1995.5,forest,0
23.9861,90.955,Agartala,252.8,14.6,263.9,8,40.2,278.6,0.616,0.808,1187.1,forest,0
25.4337,91.8403,Shillong,212.8,21.5,310.8,5,6.2,41.7,0.748,0.184,4733.4,forest,0
25.5739,94.0808,Kohima,737.7,16.0,207.9,6,26.0,180.2,0.4,0.366,1193.3,forest,0
26.2794,91.6922,Guwahati,237.0,15.6,99.3,5,0.1,0.3,0.665,0.248,1121.0,forest,0
27.4818,94.9994,Dibrugarh,505.7,22.0,238.2,3,1.3,7.0,0.464,0.26,1402.6,forest,0
26.997,92.6286,Tezpur,426.5,27.2,15.1,6,2.8,20.1,0.548,0.393,9518.7,forest,0
25.2088,93.9774,Kohima,265.2,14.3,143.4,7,33.6,199.9,0.587,0.706,1706.3,forest,0
27.2346,93.2671,Itanagar,555.3,22.2,124.5,8,24.6,188.6,0.663,0.931,78.3,agriculture,0
25.7861,91.6151,Guwahati,568.4,29.4,287.0,8,17.6,71.1,0.442,0.835,5318.5,water,0
26.2382,91.6684,Guwahati,595.0,28.4,10.3,7,0.2,1.1,0.522,0.709,10926.0,agriculture,0
25.8329,90.3022,Tura,686.5,12.9,79.8,6,4.5,11.4,0.475,0.826,1210.4,agriculture,0
25.5557,92.2436,Shillong,993.6,42.6,197.1,8,6.4,28.4,0.319,0.72,1235.4,urban,1
24.9147,93.8749,Imphal,518.0,40.7,297.4,8,26.1,114.3,0.367,0.893,946.8,forest,0
23.6232,91.2825,Agartala,459.1,12.0,156.4,7,14.5,86.7,0.934,0.997,314.6,agriculture,0
25.0837,92.1527,Dawki,372.6,30.9,352.5,8,28.1,111.1,0.735,0.798,968.6,bare,0
25.5464,91.9878,Dawki,919.7,24.1,76.4,4,3.6,9.7,0.361,0.257,5535.8,agriculture,0
26.6893,93.9639,Jorhat,774.0,41.8,320.5,7,12.4,62.3,0.245,0.983,1041.7,agriculture,0
26.5941,92.4816,Tezpur,1338.5,18.5,272.3,4,7.7,30.6,0.576,0.166,408.7,forest,0
26.198,91.588,Guwahati,836.9,40.5,0.0,8,6.6,23.3,0.423,0.655,266.7,agriculture,0
25.6908,91.6122,Shillong,413.2,24.3,355.4,7,11.4,82.4,0.516,0.589,1136.1,forest,0
26.5609,94.0622,Jorhat,877.0,6.6,358.1,4,4.5,27.5,0.487,0.266,2402.5,agriculture,0
23.8708,92.9444,Aizawl,4255.8,31.8,229.6,9,0.6,3.2,0.436,0.688,2624.9,bare,0
25.5678,90.4221,Tura,1211.0,27.9,332.7,11,5.4,20.5,0.614,0.271,2398.7,bare,0
25.7375,90.2024,Tura,871.8,24.3,236.9,12,1.8,7.4,0.461,0.28,1750.4,agriculture,0
23.4589,93.0363,Aizawl,417.0,22.1,189.1,4,6.1,23.0,0.672,0.148,128.6,forest,1
25.8417,94.3312,Kohima,423.6,14.1,142.7,6,2.3,6.8,0.896,0.308,1943.6,agriculture,0
27.5334,94.717,Dibrugarh,407.9,7.1,141.9,7,24.3,116.9,0.66,0.493,771.2,agriculture,0
27.3989,94.6571,Dibrugarh,2260.7,28.3,77.9,7,0.7,5.1,0.649,0.819,2994.6,bare,0
24.0069,92.8325,Aizawl,487.7,29.3,7.6,9,26.1,175.8,0.719,0.409,462.8,bare,0
26.4615,94.1945,Jorhat,424.8,0.5,52.3,7,1.0,2.3,0.854,0.842,309.4,forest,1
25.6738,93.5802,Kohima,1961.0,45.2,337.3,12,4.8,31.2,0.323,0.2,7895.4,forest,0
25.7043,89.9973,Tura,2741.2,2.6,63.7,4,9.4,52.7,0.463,0.259,4791.3,agriculture,0
27.4273,95.1331,Dibrugarh,390.6,45.8,117.0,8,48.9,312.1,0.662,0.721,4989.6,forest,0
26.1479,91.827,Guwahati,973.0,12.5,145.0,7,84.9,238.8,0.455,0.704,1625.9,forest,0
23.4963,92.8687,Aizawl,250.3,24.1,297.9,5,1.9,4.3,0.444,0.283,419.5,forest,0
24.7352,94.3019,Imphal,204.5,5.9,102.8,8,0.4,2.0,0.466,1.0,6806.7,forest,1
25.4289,92.0656,Dawki,304.0,43.7,106.5,5,1.2,3.6,0.474,0.148,209.3,urban,1
23.5562,91.4295,Agartala,1420.8,19.6,139.5,9,5.5,20.8,0.47,0.357,6512.4,urban,1
24.082,91.2005,Agartala,516.7,6.0,0.3,10,0.1,0.2,0.328,0.186,8051.4,agriculture,0
25.4643,91.8542,Shillong,912.9,23.4,141.7,4,3.3,21.3,0.394,0.256,4102.0,forest,0
26.3941,94.3843,Jorhat,689.9,23.4,275.5,4,3.2,18.8,0.56,0.229,2368.5,water,0
23.6782,91.167,Agartala,933.2,24.3,180.2,8,10.7,29.1,0.748,0.423,5013.1,water,0
25.2684,90.068,Tura,766.9,23.2,309.5,10,0.7,1.9,0.676,0.257,1104.0,agriculture,0
27.0889,94.1014,Jorhat,855.6,20.3,316.5,8,1.8,8.0,0.611,0.901,1062.6,bare,0
