station_id,name,latitude,longitude,elevation,soil_moisture_0_7cm,soil_moisture_7_28cm,estimated_ndvi
NER-001,Gangtok,27.3389,88.6065,1487.0,0.4,0.4,0.451
NER-002,Mangan,27.5124,88.5281,796.0,0.4,0.4,0.551
NER-003,Namchi,27.1684,88.551,814.0,0.4,0.4,0.551
NER-004,Guwahati,26.1445,91.7362,52.0,0.5,0.5,0.351
NER-005,Diphu,25.844,93.43,200.0,0.5,0.5,0.351
NER-006,Imphal,24.817,93.9368,782.0,0.4,0.4,0.551
NER-007,Lamka,24.3322,93.6825,862.0,0.5,0.5,0.551
NER-008,Aizawl,23.7271,92.7176,1069.0,0.4,0.3,0.451
NER-009,Lunglei,22.9,92.75,890.0,0.4,0.4,0.551
NER-010,Shillong,25.5788,91.8933,1436.0,0.5,0.5,0.451
NER-011,Cherrapunji,25.2838,91.7344,1029.0,0.5,0.5,0.451
NER-012,Tura,25.514,90.22,342.0,0.3,0.3,0.351
NER-013,Kohima,25.6586,94.1086,1365.0,0.5,0.5,0.451
NER-014,Dimapur,25.9,93.7266,147.0,0.5,0.5,0.351
NER-015,Agartala,23.8315,91.2868,12.0,0.4,0.4,0.351
NER-016,Itanagar,27.0844,93.692,160.0,0.4,0.3,0.351
NER-017,Ziro,27.5887,93.8492,1592.0,0.4,0.4,0.451
NER-018,Pasighat,28.07,95.33,162.0,0.5,0.5,0.351
NER-019,Tawang,27.586,91.88,2791.0,0.4,0.4,0.251
NER-020,Haflong,25.45,93.18,413.0,0.4,0.4,0.351
