YEAR,MONTH,SUBDIVISION,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,ANNUAL
2015,1,Assam & Meghalaya,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,162.7
2015,1,Sub-Himalayan West Bengal & Sikkim,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,159.3
2015,1,Naga-Mani-Mizo-Tripura,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,166.6
2015,1,Arunachal Pradesh,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,264.2
2015,2,Assam & Meghalaya,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,164.7
2015,2,Sub-Himalayan West Bengal & Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
2015,2,Naga-Mani-Mizo-Tripura,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,219.9
2015,2,Arunachal Pradesh,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,147.9
2015,3,Assam & Meghalaya,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,154.0
2015,3,Sub-Himalayan West Bengal & Sikkim,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,193.9
2015,3,Naga-Mani-Mizo-Tripura,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,207.9
2015,3,Arunachal Pradesh,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,26.6,319.6
2015,4,Assam & Meghalaya,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,258.8
2015,4,Sub-Himalayan West Bengal & Sikkim,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,193.3
2015,4,Naga-Mani-Mizo-Tripura,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,91.4
2015,4,Arunachal Pradesh,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,58.2
2015,5,Assam & Meghalaya,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,87.4,1048.7
2015,5,Sub-Himalayan West Bengal & Sikkim,119.3,119.3,119.3,119.3,119.3,119.3,119.3,119.3,119.3,119.3,119.3,119.3,1432.0
2015,5,Naga-Mani-Mizo-Tripura,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,975.0
2015,5,Arunachal Pradesh,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,76.8,921.7
2015,6,Assam & Meghalaya,342.5,342.5,342.5,342.5,342.5,342.5,342.5,342.5,342.5,342.5,342.5,342.5,4110.5
2015,6,Sub-Himalayan West Bengal & Sikkim,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,183.7,2204.6
2015,6,Naga-Mani-Mizo-Tripura,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,3300.2
2015,6,Arunachal Pradesh,339.2,339.2,339.2,339.2,339.2,339.2,339.2,339.2,339.2,339.2,339.2,339.2,4070.7
2015,7,Assam & Meghalaya,369.9,369.9,369.9,369.9,369.9,369.9,369.9,369.9,369.9,369.9,369.9,369.9,4438.5
2015,7,Sub-Himalayan West Bengal & Sikkim,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,280.7,3369.0
2015,7,Naga-Mani-Mizo-Tripura,330.1,330.1,330.1,330.1,330.1,330.1,330.1,330.1,330.1,330.1,330.1,330.1,3961.5
2015,7,Arunachal Pradesh,319.9,319.9,319.9,319.9,319.9,319.9,319.9,319.9,319.9,319.9,319.9,319.9,3838.3
2015,8,Assam & Meghalaya,362.6,362.6,362.6,362.6,362.6,362.6,362.6,362.6,362.6,362.6,362.6,362.6,4351.0
2015,8,Sub-Himalayan West Bengal & Sikkim,210.9,210.9,210.9,210.9,210.9,210.9,210.9,210.9,210.9,210.9,210.9,210.9,2531.3
2015,8,Naga-Mani-Mizo-Tripura,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,345.5,4145.5
2015,8,Arunachal Pradesh,178.8,178.8,178.8,178.8,178.8,178.8,178.8,178.8,178.8,178.8,178.8,178.8,2146.1
2015,9,Assam & Meghalaya,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,1084.9
2015,9,Sub-Himalayan West Bengal & Sikkim,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,3017.4
2015,9,Naga-Mani-Mizo-Tripura,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,226.7,2720.8
2015,9,Arunachal Pradesh,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,370.1,4441.0
2015,10,Assam & Meghalaya,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,1199.1
2015,10,Sub-Himalayan West Bengal & Sikkim,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,521.1
2015,10,Naga-Mani-Mizo-Tripura,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,105.4,1265.1
2015,10,Arunachal Pradesh,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,599.2
2015,11,Assam & Meghalaya,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,929.0
2015,11,Sub-Himalayan West Bengal & Sikkim,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,854.2
2015,11,Naga-Mani-Mizo-Tripura,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,83.4,1001.2
2015,11,Arunachal Pradesh,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,104.6,1254.7
2015,12,Assam & Meghalaya,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,256.6
2015,12,Sub-Himalayan West Bengal & Sikkim,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,222.0
2015,12,Naga-Mani-Mizo-Tripura,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,258.0
2015,12,Arunachal Pradesh,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,237.4
2016,1,Assam & Meghalaya,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,104.8
2016,1,Sub-Himalayan West Bengal & Sikkim,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,93.9
2016,1,Naga-Mani-Mizo-Tripura,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,123.6
2016,1,Arunachal Pradesh,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,239.9
2016,2,Assam & Meghalaya,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,150.0
2016,2,Sub-Himalayan West Bengal & Sikkim,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,460.3
2016,2,Naga-Mani-Mizo-Tripura,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,81.7
2016,2,Arunachal Pradesh,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,48.1
2016,3,Assam & Meghalaya,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,272.2
2016,3,Sub-Himalayan West Bengal & Sikkim,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,350.6
2016,3,Naga-Mani-Mizo-Tripura,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,240.7
2016,3,Arunachal Pradesh,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,280.3
2016,4,Assam & Meghalaya,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,351.2
2016,4,Sub-Himalayan West Bengal & Sikkim,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,168.7
2016,4,Naga-Mani-Mizo-Tripura,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,9.2
2016,4,Arunachal Pradesh,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,116.2
2016,5,Assam & Meghalaya,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6,108.6,1303.0
2016,5,Sub-Himalayan West Bengal & Sikkim,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,36.7,440.3
2016,5,Naga-Mani-Mizo-Tripura,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,972.1
2016,5,Arunachal Pradesh,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,1051.2
2016,6,Assam & Meghalaya,274.8,274.8,274.8,274.8,274.8,274.8,274.8,274.8,274.8,274.8,274.8,274.8,3297.0
2016,6,Sub-Himalayan West Bengal & Sikkim,357.9,357.9,357.9,357.9,357.9,357.9,357.9,357.9,357.9,357.9,357.9,357.9,4294.7
2016,6,Naga-Mani-Mizo-Tripura,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,346.5,4157.5
2016,6,Arunachal Pradesh,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,485.7,5828.6
2016,7,Assam & Meghalaya,349.6,349.6,349.6,349.6,349.6,349.6,349.6,349.6,349.6,349.6,349.6,349.6,4195.2
2016,7,Sub-Himalayan West Bengal & Sikkim,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,3015.0
2016,7,Naga-Mani-Mizo-Tripura,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,255.1,3060.7
2016,7,Arunachal Pradesh,233.5,233.5,233.5,233.5,233.5,233.5,233.5,233.5,233.5,233.5,233.5,233.5,2801.7
2016,8,Assam & Meghalaya,376.2,376.2,376.2,376.2,376.2,376.2,376.2,376.2,376.2,376.2,376.2,376.2,4514.2
2016,8,Sub-Himalayan West Bengal & Sikkim,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,254.7,3055.8
2016,8,Naga-Mani-Mizo-Tripura,294.4,294.4,294.4,294.4,294.4,294.4,294.4,294.4,294.4,294.4,294.4,294.4,3532.5
2016,8,Arunachal Pradesh,359.9,359.9,359.9,359.9,359.9,359.9,359.9,359.9,359.9,359.9,359.9,359.9,4319.3
2016,9,Assam & Meghalaya,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,242.1,2905.5
2016,9,Sub-Himalayan West Bengal & Sikkim,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,3318.1
2016,9,Naga-Mani-Mizo-Tripura,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,152.7,1832.4
2016,9,Arunachal Pradesh,213.4,213.4,213.4,213.4,213.4,213.4,213.4,213.4,213.4,213.4,213.4,213.4,2560.8
2016,10,Assam & Meghalaya,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,755.6
2016,10,Sub-Himalayan West Bengal & Sikkim,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,1109.7
